"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"A child's garden of verses","","003501214","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Watson, A. H., illustrator [person]","","","England ; Scotland","Glasgow ; London","Collins","1946","","223 pages (8°)","","011641.e.62","","","English","",""
"A child's garden of verses","","003501215","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Cotterill, Leonard, illustrator [person] ; Stevenson, Robert Louis, 1850-1894, author [person] ; Austin, Hilda, illustrator [person]","","","England","London","G. G. Harrap","1946","","95 pages (8°)","","11656.p.36","","","English","",""
"A child's garden of verses","","003501216","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Gill, Margery, illustrator [person]","Chameleon Books","number 26 [Chameleon Books]","England","London","Oxford University Press","1946","","64 pages (8°)","","W.P.6489/26","","","English","",""
"A child's garden of verses","","003501217","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Hassall, Joan, illustrator [person]","","","Scotland","Edinburgh","Hopetoun Press","1947","","84 pages (8°)","","11657.eee.44","","","English","",""
"A child's garden of verses","","003501218","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Garnett, Eve, illustrator [person]","Puffin Story Books","number PS 22 [Puffin Story Books]","England","West Drayton","Penguin","1948","","110 pages (8°)","","W.P.13534/22","","","English","",""
"A child's garden of verses","","003501226","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Boswell, Hilda, illustrator [person]","","","England ; Scotland","Glasgow ; London","Collins","1963","","124 pages, illustrations (4°)","","12845.g.21","","","English","",""
"A child's garden of verses","","003501233","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Provensen, Alice, illustrator [person] ; Provensen, Martin, illustrator [person] ; Stevenson, Robert Louis, 1850-1894, author [person]","","","Czechoslovakia ; England","London","Golden Pleasure","1963","","61 pages (4°)","","12844.k.65","","","English","Abridged",""
"A child's garden of verses","","006743078","Monograph","Language material ; Text","Volume","","","9780915918041","Stevenson, Robert Louis","1850-1894","person","author","Wilson, Joyce Lancaster, illustrator [person] ; Stevenson, Robert Louis, 1850-1894, author [person]","","","United States of America","San Francisco","Press ; Tuscany Alley","1978","","114 pages, 26 cm","821.8","X.992/3874","Poetry in English--1837-1900--Texts","","English","Limited edition of 500 numbered copies signed by the illustrator and printer",""
"A child's garden of verses","","006925966","Monograph","Language material ; Text","Volume","GBA4Y7832","","9780811841689","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Edens, Cooper [person]","","","United States of America","Queen Camel ; San Francisco, California","Chronicle ; Ragged Bears","2004","A classic illustrated edition, 1st board book edition","1 volume (unpaged), illustrations (chiefly colour), 18 cm","821.8","","Children's poetry, Scottish ; Scottish poetry","","English","On board pages",""
"A child's garden of verses","","007374188","Monograph","Language material ; Text","Volume","GB9222459","","9780434965090","Stevenson, Robert Louis","1850-1894","person","author","Messenger, Jannat [person] ; Stevenson, Robert Louis, 1850-1894, author [person]","","","England","","Heinemann","1992","","12 pages","821.8","LB.31.a.3718","English poetry ; Children's poetry","","English","",""
"A child's garden of verses","","007455859","Monograph","Language material ; Text","Volume","GB9418987","","9781858540955","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Kincaid, Eric, illustrator [person]","","","England","Newmarket","Brimax","1994","","128 pages","821.8","YK.1995.b.1914","English poetry","","English","",""
"A child's garden of verses","","007455974","Monograph","Language material ; Text","Volume","GBA328140","","9781858545462","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Kincaid, Eric, illustrator [person]","","","England","Newmarket","Brimax","1996","","93 pages, 28 cm","821.8","YK.2003.b.2456","Children's poetry, English--19th century","","English","",""
"A child's garden of verses","","007687426","Monograph","Language material ; Text","Volume","GB7418950","","9780216897984","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Hassall, Joan, illustrator [person]","","","England","London","Blackie","1974","","85 pages, illustrations, 23 cm","821.8","X.990/4308","Children's poetry, Scottish ; Poetry in English, 1837-1900--Texts","","English","This edition originally published: Edinburgh : Hopetoun Press, 1947",""
"A child's garden of verses","","008078506","Monograph","Language material ; Text","Volume","GB9318503","","9780486273013","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Kliros, Thea [person]","Dover children's thrift classics","","England ; United States of America","London ; New York","Constable ; Dover","1992","","viii, 88 pages, illustrations, 21 cm","821.8","H.93/2482","English poetry ; Children's poetry, Scottish ; Scottish poetry","","English","Text originally published: New York: Charles Scribner's Sons, 1885",""
"A child's garden of verses","","009001252","Monograph","Language material ; Text","Volume","GB5507171","","","Stevenson, Robert Louis","1850-1894","person","author","Goldwag, Hilda, 1912-2008, illustrator [person] ; Stevenson, Robert Louis, 1850-1894, author [person] ; Goudge, Elizabeth, 1900-1984, writer [person]","","","England ; Scotland","Glasgow ; London","Collins","1955","","192 pages, illustrations, 19 cm","821.8","12838.df.31","","","English","",""
"A child's garden of verses","","009016993","Monograph","Language material ; Text","Volume","GB6609165","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Wildsmith, Brian, illustrator [person]","","","England","London","Graz ; Oxford University Press","1966","","96 pages, illustrations, 29 cm","821.8","X.992/180","","","English","",""
"A child's garden of verses","","009416470","Monograph","Language material ; Text","Volume","","","9780528800733 ; 9780528824012","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Tudor, Tasha, illustrator [person]","","","United States of America","Chicago","Rand McNally","1981","","67 pages, colour illustrations, 31 cm","821.8","LB.31.b.3470","Children's poetry, Scottish ; Scottish poetry","","English","",""
"A child's garden of verses","","009429261","Monograph","Language material ; Text","Volume","GB99W9639","","9780723245506","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Willebeek le Mair, H. (Henriëtte), 1889-1966, illustrator [person]","","","England","London","Frederick Warne","1999","","63 pages, colour illustrations, 26 cm","821.8","LB.31.b.16742","Children's poetry, English--Scottish authors","","English","",""
"A child's garden of verses","","009467829","Monograph","Language material ; Text","Volume","GB7624579","","9780859673129 ; 9780859673136","Stevenson, Robert Louis","1850-1894","person","author","Robinson, Charles, 1870-1937, illustrator [person] ; Stevenson, Robert Louis, 1850-1894, author [person]","","","England","London","Scolar","1976","","iii-xiv, 139 pages, illustrations, 20 cm","821.8","X.908/40657 ; X.989/50804","English poetry ; Poetry in English--1837-1900--Texts","","English","facsimile reprinted of: 1896 edition London : J. Lane, 1896",""
"A child's garden of verses","","009729943","Monograph","Language material ; Text","Volume","GB8007029","","9780706411140","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; W.H. Smith & Son [organisation] ; Schwartz, Sheila, 1929-, editor [person]","","","England","London","Octopus ; WH Smith","1979","","96 pages, chiefly colour illustrations, 29 cm","821.8","","Poetry in English, 1837-1900--Texts","","English","",""
"A child's garden of verses","","010005337","Monograph","Language material ; Text","Volume","","","","Stevenson, Robert Louis","1850-1894","person","author","Robinson, Charles, 1870-1937, illustrator [person] ; Stevenson, Robert Louis, 1850-1894, author [person]","","","United States of America","La Jolla, California","Green Tiger Press","1985","","97 pages, illustrations","821.8","X.992/5691","Poetry in English--1837-1900--Texts","","English","",""
"A child's garden of verses","","010006241","Monograph","Language material ; Text","Volume","","","9780192760326 ; 9780192760654","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Wildsmith, Brian, author [person]","","","England","Oxford","Oxford University Press","1986","","96 pages, colour illustrations, 28 cm","821.8","YK.1987.b.3444","Poetry in English--1837-1900--Texts","","English","'reprinted'",""
"A child's garden of verses","","010059867","Monograph","Language material ; Text","Volume","GB9034306","","9780333531792","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person]","","","England","","Macmillan","1990","","192 pages","821.8","YK.1990.b.8353","Poetry in English--1837-1900--Texts","","English","",""
"A child's garden of verses","","010078289","Monograph","Language material ; Text","Volume","GB8920622","","9780575045064","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Foreman, Michael, 1938-, illustrator [person]","","","England","London","Gollancz","1989","","124 pages, illustrations (some colour), 23 cm","821.8","YK.1989.a.5167","Poetry in English--1837-1900--Texts","","English","",""
"A child's garden of verses","","010079253","Monograph","Language material ; Text","Volume","GB96X2296","","9780575062863","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Foreman, Michael, 1938-, illustrator [person]","A Gollancz children's classic","","England","London","Gollancz","1996","","124 pages, illustrations (some colour), 23 cm","821.8","YK.1996.a.21865","English poetry ; Children's poetry, Scottish ; Scottish poetry","","English","",""
"A child's garden of verses","","010297596","Monograph","Language material ; Text","Volume","GB5811048","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Watson, A. H., illustrator [person]","","","England ; Scotland","Glasgow ; London","Collins","1958","","223 pages, illustrations, 22 cm","821.8","11660.ee.64","","","English","A reissue of the edition of 1946",""
"A child's garden of verses","","010300449","Monograph","Language material ; Text","Volume","GB5815005","","","Stevenson, Robert Louis","1850-1894","person","author","Stevenson, Robert Louis, 1850-1894, author [person] ; Hassall, Joan, illustrator [person]","","","England ; Scotland","Glasgow ; London","Blackie","1958","Reset edition","84 pages, illustrations, 23 cm","821.8","11661.tt.15","","","English","",""
